Sl. No.,Cause,Male,Female,Transgender
1,By Consuming Sleeping Pills,484,253,0
2,By Drowning,5758,2611,1
3,By Fire/Self Immolation,1757,2435,3
4,By Firearms,301,85,0
5,By Hanging,69917,23646,17
6,By Poison (Total),29408,11784,5
6,6.1 By Consuming Insecticides,19111,7558,5
6,6.2 By Consuming Other Poison,10297,4226,0
7,By Self inflicting Injury,348,144,0
8,Jumping (Total),1338,419,0
8,8.1 from Building,643,231,0
8,8.2 from Other Sites,152,49,0
8,8.3 by Jumping off Moving Trains/Vehicles,543,139,0
9,By Coming under Running Vehicles/Trains,3476,497,1
10,By Touching Electric Wire,464,163,0
11,By Other Means,5728,2989,1
